Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -d sgNT_MC38_1/ sgNT_MC38_2/ sgArid1a_MC38_1/ sgArid1a_MC38_2/ -tpm)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_MC38_1/ TPM	sgNT_MC38_2/ TPM	sgArid1a_MC38_1/ TPM	sgArid1a_MC38_2/ TPM
NM_024212	chr9	64173387	64178562	+	1410	1	Rpl4|2010004J23Rik|-|9|9 C|protein-coding	2316.223	2287.687	2199.046	2200.937
NM_172086	chr6	115805514	115808743	-	498	1	Rpl32|AU020185|rpL32-3A|-|6 E3|6 53.72 cM|protein-coding	2295.597	2414.721	2166.727	2305.79
NM_001166595	chr11	69916712	69921275	-	1208	1	Eif5a|AA410058|D19Wsu54e|Eif4d|Eif5a1|eIF-4D|eIF-5A|eIF-5A-1|eIF-5A1|-|11|11 B3|protein-coding	2253.921	2261.998	2204.29	2187.913
NM_011099	chr9	59656368	59679375	+	2419	1	Pkm|AA414905|AL024370|AL024424|Pk-2|Pk-3|Pk3|Pkm2|-|9 B|9 32.03 cM|protein-coding	2158.116	2201.899	2073.553	2150.627
NR_105744	chr9	110281287	110281409	+	122	1	Mir6236|Gm27547|mmu-mir-6236|-|9|9 F2|ncRNA	2119.922	2015.821	2142.01	2055.357
NM_010239	chr19	9982646	9985111	+	936	1	Fth1|FHC|Fth|HFt|MFH|-|19 A|19 6.23 cM|protein-coding	2108.224	1945.204	2237.12	2238.529
NM_029767	chr7	3704041	3706897	+	696	1	Rps9|3010033P07Rik|AL022771|AL022885|-|7|7 A1|protein-coding	2086.016	2240.468	2071.183	2169.921
NM_009095	chr7	12922311	12926686	+	732	1	Rps5|AA617411|-|7|7 A1|protein-coding	1996.977	2005.876	1935.281	1983.209
NM_009263	chr5	104435111	104441053	+	1411	1	Spp1|2AR|Apl-1|BNSP|BSPI|Bsp|ETA-1|Eta|OP|Opn|Opnl|Ric|Spp-1|-|5 E5|5 50.68 cM|protein-coding	1951.352	1775.32	3128.361	3254.042
NM_031165	chr9	40801273	40805199	+	2093	1	Hspa8|2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10|-|9 A5.1|9 21.55 cM|protein-coding	1833.826	1796.958	1769.555	1727.814
NM_019883	chr8	70508266	70510367	-	488	1	Uba52|D8Ertd21e|Gm1863|Rps27a|Ubb|Ubc|-|8 B3.3|8 34.15 cM|protein-coding	1772.297	1877.474	1794.245	1780.353
NM_052835	chrX	74270816	74273135	+	786	1	Rpl10|D0HXS648|DXHXS648|DXHXS648E|QM|QM16|-|X A7.3|X 37.94 cM|protein-coding	1769.973	1720.25	1594.72	1519.557
NM_016774	chr10	128083307	128090388	+	1867	1	Atp5b|-|-|10|10 D3|protein-coding	1665.408	1654.09	1694.378	1669.1
NM_011655	chr17	35833920	35838301	-	2639	1	Tubb5|AA408537|AI596182|B130022C14Rik|M(beta)5|-|17|17 B1|protein-coding	1620.621	1629.133	1466.539	1494.284
NM_009438	chr7	45125563	45128745	-	1016	1	Rpl13a|1810026N22Rik|Tstap198-7|tum-antigen|-|7 B3|7 29.14 cM|protein-coding	1573.757	1665.741	1589.318	1614.848
NM_011311	chr3	90603770	90606045	+	494	1	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1|3 39.27 cM|protein-coding	1542.693	1597.808	1405.844	1488.483
NM_007591	chr8	84842088	84846931	-	1932	1	Calr|CRT|Calregulin|-|8 C2|8 41.21 cM|protein-coding	1516.437	1476.614	1308.105	1288.688
NM_001252260	chr11	33152498	33163206	-	1370	1	Npm1|B23|NO38|Npm|-|11|11 A4|protein-coding	1456.628	1467.552	1330.913	1296.356
NM_024277	chr11	29545842	29548040	-	718	1	Rps27a|0610006J14Rik|Uba52|Ubb|Ubc|-|11|11 A3.3|protein-coding	1455.455	1523.354	1428.765	1402.029
NM_025963	chr17	27630429	27635242	-	566	1	Rps10|2210402A09Rik|-|17|17 A3.3|protein-coding	1423.411	1505.26	1407.396	1377.841
NM_008248	chr11	54866438	54870496	+	571	1	Hint1|AA673479|Hint|Ipk1|PKCI-1|PRKCNH1|-|11|11 B1.3|protein-coding	1420.514	1475.331	1348.508	1453.605
NR_110499	chr7	45324958	45325651	+	693	1	Rpl14-ps1|ENSMUSG00000046721|Gm9811|-|7 B3|7|pseudo	1415.437	1412.095	1363.892	1302.414
NR_038063	chr12	75630925	75631749	-	824	1	Rplp2-ps1|Gm7852|-|12 C3|12|pseudo	1406.056	1463.54	1380.675	1344.416
NM_011296	chr17	33951999	33955641	-	517	1	Rps18|H-2Ke3|H2-Ke3|Ke-3|ke3|-|17 B1|17 17.98 cM|protein-coding	1374.512	1433.963	1401.783	1397.607
NM_016844	chr17	33823037	33824498	-	321	1	Rps28|-|-|17|17 B1|protein-coding	1347.167	1393.543	1355.093	1350.235
NM_011072	chr11	70651847	70654650	-	865	1	Pfn1|Pfn|-|11 B3|11 43.21 cM|protein-coding	1287.888	1276.353	1147.14	1129.432
NM_011701	chr2	13574311	13582826	+	1823	1	Vim|-|-|2 A1|2 10.04 cM|protein-coding	1286.064	1328.762	1096.12	1056.215
NM_010699	chr7	46845804	46855627	+	1613	1	Ldha|Ldh1|Ldhm|l7R2|-|7 B3|7 30.6 cM|protein-coding	1270.074	1324.069	1248.905	1211.53
NM_025592	chr2	39001581	39005131	-	446	1	Rpl35|2410039E09Rik|-|2|2 B|protein-coding	1260.026	1286.843	1165.39	1259.202
NM_007450	chr8	46207341	46211009	-	1100	1	Slc25a4|AU019225|Ant1|-|8 B1.1|8 26.22 cM|protein-coding	1241.986	1256.186	1253.588	1264.211
NM_008818	chrX	37754608	37808878	+	793	1	Rhox5|AA409564|Pem|-|X A3.3|X|protein-coding	1221.718	1214.766	1279.075	1251.41
NM_001199350	chr3	130726837	130730329	-	406	1	Rpl34-ps1|EG619547|ENSMUSG00000068396|Gm10239|-|6|6 C1|protein-coding	1216.678	1335.228	1225.57	1282.855
NM_007687	chr19	5490455	5494031	+	1178	1	Cfl1|AA959946|Cof|-|19|19 A|protein-coding	1198.924	1196.515	1111.512	1129.724
NM_025587	chr2	180257379	180258444	+	383	1	Rps21|1810049N11Rik|2410030A14Rik|-|2|2 H4|protein-coding	1191.773	1237.274	1168.657	1193.473
NM_001293559	chr8	120668320	120674209	+	662	1	Cox4i1|AL024441|COX|COX IV-1|COXIV|Cox4|Cox4a|IV-1|-|8 E1|8 69.99 cM|protein-coding	1188.329	1252.909	1247.138	1223.529
NM_010240	chr7	45457944	45459886	-	964	1	Ftl1|Ftl|Ftl-1|L-ferritin|-|7|7 B3|protein-coding	1183.513	1135.947	925.469	900.822
NR_003373	chr11	68901589	68904534	+	516	1	Gm15772|ENSMUSG00000062353|OTTMUSG00000026108|-|5|5 A1|pseudo	1165.431	1229.833	1161.877	1183.128
NR_003258	chr2	174327914	174346742	+	1439	1	Gnas|5530400H20Rik|A930027G11Rik|C130027O20Rik|GPSA|GSP|Galphas|Gnas1|Gnasxl|Gs-alpha|Gsa|Nesp|Nesp55|Nespl|Oed-Sml|Oedsml|P1|P2|P3|PHP1A|PHP1B|POH|SCG6|-|2 H4|2 97.89 cM|protein-coding	1158.1	1096.242	1113.685	1083.207
NM_007907	chr10	81176631	81182509	+	3084	1	Eef2|Ef-2|-|10|10 C1|protein-coding	1148.29	1182.922	1088.806	1089.753
NM_020600	chr18	60774596	60778546	+	590	1	Rps14|2600014J02Rik|AL023078|-|18 E1|18 34.4 cM|protein-coding	1148.158	1170.174	1174.522	1186.693
NM_012052	chr7	99477897	99483709	-	1869	1	Rps3|D7Ertd795e|Rs_3|-|7 E1|7 54.07 cM|protein-coding	1144.416	1185.247	1151.897	1144.371
NR_002875	chr11	62551504	62553206	+	700.5	2	Gm1821|-|-|14|14 C1|pseudo	1139.025	1193.421	1337.36	1338.264
NM_009080	chr11	68901566	68904534	+	537	1	Rpl26|SIG-20|-|11|11 B3|protein-coding	1119.856	1181.739	1116.441	1136.86
NM_001160239	chr19	6057888	6059524	+	564	1	Fau|MNSFbeta|-|19 A|19 4.34 cM|protein-coding	1062.677	1108.211	1080.235	1133.602
NM_009096	chr4	86854099	86857367	-	1387	1	Rps6|S6R|-|4|4 C4|protein-coding	1051.121	1063.968	980.939	934.242
NM_001005859	chr3	130726827	130730398	-	485	1	Rpl34|1100001I22Rik|-|3|3 G3|protein-coding	1019.09	1118.62	1027.508	1073.895
NM_001163434	chr2	34772090	34776529	+	2523	1	Hspa5|AL022860|AU019543|Bip|D2Wsu141e|D2Wsu17e|Grp78|Hsce70|SEZ-7|Sez7|baffled|mBiP|-|2 B|2 22.94 cM|protein-coding	998.31	989.236	817.898	836.739
NR_039574	chr19	44303171	44303231	+	60	1	Mir5114|mmu-mir-5114|mu-mir-5114|-|19 C3|19 37.98 cM|ncRNA	975.196	918.253	941.986	966.592
NM_019639	chr5	125385965	125390017	-	2404	1	Ubc|2700054O04Rik|AI194771|Rps27a|TI-225|Uba52|Ubb|-|5 G1.1|5 64.18 cM|protein-coding	971.599	934.834	881.137	878.916
NM_001025388	chr4	150237324	150248873	+	1696.5	2	Eno1b|EG433182|Eno1|Gm5506|-|18 C|18|protein-coding	962.067	1003.889	878.016	886.508
NM_010477	chr1	55077834	55087932	-	2318	1	Hspd1|60kDa|Hsp60|-|1|1 C1.2|protein-coding	946.184	950.675	862.9	860.216
NM_011631	chr10	86690841	86705444	-	2739	1	Hsp90b1|ERp99|GRP94|TA-3|Targ2|Tra-1|Tra1|endoplasmin|gp96|-|10 C1|10 43.05 cM|protein-coding	942.624	912.214	775.143	789.626
NM_026020	chr7	141447650	141451342	+	434	1	Rplp2|2700049I22Rik|-|7|7 F5|protein-coding	929.825	972.497	888.845	926.374
NM_009976	chr2	148871722	148875512	-	791	1	Cst3|CysC|-|2 G3|2 73.6 cM|protein-coding	914.743	908.551	816.329	909.761
NM_011289	chr11	101442245	101445596	+	727	1	Rpl27|-|-|11|11 D|protein-coding	908.656	941.807	887.775	890.036
NM_013647	chr7	28350689	28352698	+	608	1	Rps16|AA420385|AI317031|-|7|7 A3|protein-coding	908.453	935.046	902.854	838.672
NM_009429	chr14	75845256	75848303	+	886	1	Tpt1|TCTP|Trt|p21|p23|-|14 D3|14 40.29 cM|protein-coding	908.339	915.687	898.567	935.539
NM_023119	chr4	150237197	150248873	+	1762	1	Eno1|0610008I15|AL022784|Eno-1|MBP-1|-|4 E2|4 81.24 cM|protein-coding	900.929	942.755	825.372	834.234
NM_009415	chr6	124810592	124814296	-	1592	1	Tpi1|AI255506|Tpi|Tpi-1|-|6 F2|6 59.17 cM|protein-coding	881.906	883.478	882.969	879.056
NM_007750	chr19	7215158	7217616	-	541	1	Cox8a|COX8L|-|19|19 A|protein-coding	879.588	852.972	832.684	864.855
NM_001110234	chrX	136270253	136271978	+	887	1	Bex3|AL033356|DXWsu67e|Gcap27|Nade|Ngfrap1|-|X F1|X 57.64 cM|protein-coding	878.627	869.115	849.251	870.522
NM_007451	chrX	36795597	36798808	+	1289	1	Slc25a5|Ant2|-|X A3.3|X 21.2 cM|protein-coding	878.418	874.451	814.711	804.651
NM_011969	chr2	180036367	180042464	-	943	1	Psma7|C6-I|-|2|2 H4|protein-coding	877.674	914.222	895.166	935.886
NM_022891	chr11	97777526	97782439	-	1055	1	Rpl23|2810009A01Rik|-|11 D|11 61.1 cM|protein-coding	870.212	887.384	832.249	821.261
NM_007748	chr5	115345654	115348955	-	528	1	Cox6a1|VIaL|-|5 F|5 56.06 cM|protein-coding	854.412	827.477	852.61	895.435
NM_182650	chr6	51460435	51469894	-	2132	1	Hnrnpa2b1|9130414A06Rik|Hnrpa2|Hnrpa2b1|hnrnp-A|-|6|6 B3|protein-coding	854.287	825.003	818.672	827.834
NM_007585	chr9	69453683	69491785	+	1359	1	Anxa2|AW215814|Cal1h|-|9 C|9 38.58 cM|protein-coding	849.04	863.439	892.035	886.901
NM_011291	chr1	16101296	16104433	-	924	1	Rpl7|Rpl7a|Surf-3|-|1|1 A3|protein-coding	844.377	837.402	799.13	812.922
NM_001271591	chr5	115102922	115107962	-	673	1	Rpl37rt|Gm13826|OTTMUSG00000014624|-|5 F|5 55.99 cM|protein-coding	823.489	866.37	823.781	833.854
NM_013762	chr15	80077781	80083406	-	1349	1	Rpl3|F2|J1|-|15|15 E1|protein-coding	823.256	828.469	809.335	792.643
NM_031191	chr13	12996124	13005330	-	783	1	Prl2c2|Ghd2|MRP-1|PLF-1|Plf|Plf1|-|13 A1|13 5.18 cM|protein-coding	817.047	933.876	488.593	523.846
NM_013602	chr8	94179089	94180327	+	537	1	Mt1|MT-I|Mt-1|-|8 C5|8 46.34 cM|protein-coding	801.274	769.752	598.962	621.125
NM_011975	chr7	109519195	109522369	+	1105	1	Rpl27a|L27'|L27A|L29|-|7 E3|7 57.26 cM|protein-coding	799.091	808.738	783.591	741.884
NM_024266	chr9	44407714	44410406	+	677	1	Rps25|2810009D21Rik|-|9|9 A5.2|protein-coding	798.238	799.266	763.257	781.956
NM_207523	chr11	78180936	78183584	-	552	1	Rpl23a|BC029892|MDA20|-|11|11 B5|protein-coding	787.313	805.463	732.968	764.128
NM_001301722	chr2	73908447	73911326	-	664	1	Atp5g3|6030447M23|-|2|2 C3|protein-coding	783.554	818.139	774.082	772.371
NM_009098	chr4	117153836	117156132	-	732	1	Rps8|-|-|4|4 D1|protein-coding	782.843	793.03	683.7	705.213
NM_008617	chr5	135778649	135790386	+	1271	1	Mdh2|MDH|Mdh-2|Mor-1|Mor1|-|5 G2|5 75.4 cM|protein-coding	779.445	776.332	731.814	711.671
NM_009094	chrX	102184941	102189391	-	963	1	Rps4x|Rps4|Rps4-1|-|X D|X 45.2 cM|protein-coding	778.234	745.239	681.57	684.282
NM_207634	chr14	24490681	24496146	+	830	1	Rps24|-|-|14|14 A3|protein-coding	772.512	764.399	698.161	707.855
NM_001177308	chr7	126795234	126800447	-	1450	1	Aldoa|Aldo-1|Aldo1|-|7|7 F3|protein-coding	771.663	781.196	689.148	648.839
NM_009536	chr11	75732887	75765841	+	2070	1	Ywhae|AU019196|-|11 B5|11 45.92 cM|protein-coding	766.739	715.392	698.233	697.519
NM_016959	chr3	86137940	86142668	-	935	1	Rps3a1|Rps3a|-|3|3 F1|protein-coding	766.636	767.709	746.667	753.617
NM_013725	chr7	45122388	45124389	-	595	1	Rps11|-|-|7|7 B3|protein-coding	765.208	722.544	686.381	682.3
NM_008972	chr1	86526736	86530698	+	1185	1	Ptma|Thym|-|1|1 C5|protein-coding	758.489	799.67	839.544	892.648
NM_011034	chr4	116685599	116700000	+	1409	1	Prdx1|MSP23|NkefA|OSF-3|OSF3|PAG|Paga|PrdxI|PrxI|TDX2|TPxA|Tdpx2|prx1|-|4 D1|4 53.28 cM|protein-coding	753.304	772.322	698.095	730.057
NM_009077	chr7	45718071	45720835	+	671	1	Rpl18|L18|Rpl18a|-|7|7 B3|protein-coding	740.671	764.295	719.815	737.799
NM_010448	chr11	51600100	51606881	-	2395	1	Hnrnpab|3010025C11Rik|CBF-A|Cgbfa|Hnrpab|-|11|11 B1.3|protein-coding	740.367	710.689	694.833	675.161
NM_023142	chr5	145114256	145128186	+	1539	1	Arpc1b|41kDa|AA408064|AA408534|AA571392|AF007010|AW208418|L72|SOP2Hs|p41-ARC|-|5|5 G2|protein-coding	732.082	752.714	695.003	720.454
NM_144958	chr11	69666936	69672423	-	1867	1	Eif4a1|BM-010|Ddx2a|Eif4|-|11 B3|11 42.86 cM|protein-coding	726.98	733.775	671.371	666.064
NM_001313984	chr11	62551731	62553213	+	1191	1	Ubb|AL033289|Rps27a|Uba52|Ubb2|Ubc|-|11 B2|11 38.46 cM|protein-coding	723.042	761.606	850.75	848.395
NM_009836	chr3	88297135	88321766	+	1941	1	Cct3|AL024092|Cctg|Tcp1-rs3|TriC-P5|-|3 F1|3 38.79 cM|protein-coding	721.854	720.213	724.912	708.585
NM_007637	chr15	31590884	31601804	-	1756	1	Cct5|CCT-epsilon|Ccte|TCP-1-epsilon|TCPE|mKIAA0098|-|15|15 B2|protein-coding	705.227	699.363	696.072	677.932
NM_025378	chr7	141009590	141010744	-	644	1	Ifitm3|1110004C05Rik|Cd225|Cdw217|DSPA2b|Fgls|IP15|mil-1|-|7|7 F5|protein-coding	696.047	626.565	775.945	797.01
NM_001159483	chr11	98026710	98030493	+	730	1	Rpl19|-|-|11|11 D|protein-coding	690.262	720.316	712.213	693.137
NM_031868	chr19	4192174	4195419	+	1354	1	Ppp1ca|Ppp1c|dism2|-|19|19 A|protein-coding	686.115	697.223	701.205	703.429
NM_009735	chr2	122147687	122153082	+	852	1	B2m|Ly-m11|beta2-m|beta2m|-|2 E5|2 60.55 cM|protein-coding	683.045	640.794	686.731	680.863
NM_026007	chr19	8967041	8978180	+	1553	1	Eef1g|2610301D06Rik|AA407312|EF1G|-|19|19 A|protein-coding	677.53	668.266	621.625	602.558
NM_009112	chr3	93555117	93564645	+	645	1	S100a10|42C|AA409961|AL024248|CAL12|CLP11|Cal1l|p10|p11|-|3 F2.1|3 40.51 cM|protein-coding	677.137	696.408	652.96	668.285
NM_007952	chr2	121413902	121438686	+	2627	1	Pdia3|58kDa|ERp57|ERp60|ERp61|Erp|Grp58|PDI|PDI-Q2|PI-PLC|PLC[a]|Plca|-|2 E5|2 60.38 cM|protein-coding	673.669	659.281	567.306	585.673
NM_019865	chrX	134585654	134588062	+	482	1	Rpl36a|L44L|Rpl44|-|X|X E3|protein-coding	666.025	678.429	613.407	639.105
NM_009698	chr8	122574637	122576907	-	859	1	Aprt|C85684|-|8 E1|8 71.91 cM|protein-coding	665.262	714.832	694.224	673.521
NM_013765	chr10	128624529	128626506	-	442	1	Rps26|-|-|10|10 D3|protein-coding	665.15	648.76	672.356	670.32
NM_011032	chr11	120560304	120572936	-	2525	1	P4hb|ERp59|PDI|Pdia1|Thbp|-|11 E2|11 84.27 cM|protein-coding	663.646	659.571	624.942	624.7
NM_023133	chr7	24884714	24889802	+	621	1	Rps19|Dsk3|-|7|7 A3|protein-coding	657.006	751.363	687.981	691.18
NM_008503	chr17	24720063	24721927	+	991	1	Rps2|Llrep3|S4|-|17|17 A3.3|protein-coding	655.712	651.015	615.705	628.054
NM_008774	chr15	36595658	36608973	-	2803	1	Pabpc1|PABP|Pabp1|PabpI|Pabpl1|ePAB|-|15|15 B3.1|protein-coding	647.32	622.213	585.835	576.986
NM_009448	chr15	99029891	99038105	+	1971	1	Tuba1c|M[a]6|Tuba6|-|15|15 F1|protein-coding	639.678	664.497	610.277	613.009
NM_010481	chr18	34937415	34954351	-	3023	1	Hspa9|74kDa|Csa|Grp75|Hsc74|Hsp74|Hsp74a|Hspa9a|Mortalin|Mot-2|Mot2|Mthsp70|Pbp74|-|18 B1|18 18.8 cM|protein-coding	637.924	633.685	566.068	553.717
NM_001038231	chr19	5364633	5366363	-	761	1	Banf1|Baf|Bcrp1|L2bp1/Baf|-|19|19 A|protein-coding	637.395	657.588	594.756	585.01
NM_010798	chr10	75859353	75860250	-	549	1	Mif|GIF|Glif|-|10 38.59 cM|10 C1|protein-coding	629.784	628.132	625.722	647.61
NM_011660	chr4	57943373	57956411	-	1044	1	Txn1|ADF|AW550880|Trx1|Txn|-|4 B3|4 31.87 cM|protein-coding	629.723	633.825	629.272	629.044
NM_010886	chr6	11900373	11907446	-	486	1	Ndufa4|MLRQ|-|6|6 A1|protein-coding	624.454	636.428	621.176	637.88
NM_011732	chr4	119277327	119294513	-	2181	1	Ybx1|1700102N10Rik|C79409|EF1A|MSY1|Nsep1|YB-1|dbpB|mYB-1a|-|4|4 D2.1|protein-coding	609.99	600.123	589.9	584.044
NM_018796	chr1	63176831	63180486	+	1925	1	Eef1b2|2810017J07Rik|Eef1b|-|1|1 C2|protein-coding	601.342	641.301	616.731	614.849
NM_020582	chr5	145183706	145191592	-	471	1	Atp5j2|1110019H14Rik|-|5|5 G2|protein-coding	600.083	637.301	621.604	653.139
NM_016740	chr3	93520496	93526288	+	499	1	S100a11|EMAPI|Emap1|S100a14|S100c|cal|-|3|3 F2.1|protein-coding	596.374	554.344	400.081	396.676
NM_027959	chr12	17266595	17284770	+	2110	1	Pdia6|1700015E05Rik|AL023058|C77895|CaBP5|P5|Txndc7|-|12|12 A1.1|protein-coding	589.43	564.711	516.933	541.687
NM_011018	chr11	50200152	50210820	-	2020	1	Sqstm1|A170|OSF-6|Osi|STAP|STONE14|p62|-|11|11 B1.3|protein-coding	589.359	531.93	579.152	586.557
NM_001190258	chr3	90212667	90213647	-	339	1	Rps27rt|ENSMUSG00000050621|Gm9846|Rps27l2|-|9|9 F3|protein-coding	589.049	663.564	656.585	645.056
NM_027015	chr3	90212667	90213648	-	340	1	Rps27|3200001M24Rik|-|3|3 F1|protein-coding	587.316	660.773	654.654	642.335
NM_010684	chr8	13159161	13175338	+	2218	1	Lamp1|CD107a|LGP-120|LGP-A|Lamp-1|P2B|-|8 A1.1|8 5.73 cM|protein-coding	583.35	565.851	561.222	558.827
NM_024427	chr9	67022593	67049213	-	1691	1	Tpm1|AA986836|AI854628|TM2|Tm3|Tmpa|Tpm-1|alpha-TM|-|9 C|9 36.27 cM|protein-coding	582.96	582.161	619.773	631.505
NM_009838	chr5	129787356	129846443	+	2156	1	Cct6a|CCT-zeta|CCT-zeta-1|Cct6|Cctz-1|TCP-1-zeta|-|5|5 G1.3|protein-coding	579.455	597.416	543.112	527.986
NM_001331052	chr3	87906850	87916132	+	2159	1	Hdgf|AI118077|D3Ertd299e|-|3 F1|3 38.78 cM|protein-coding	578.783	573.05	534.405	530.886
NM_001287180	chr15	80255184	80257545	+	1440	1	Atf4|Atf-4|C/ATF|CREB2|TAXREB67|-|15 E1|15 37.85 cM|protein-coding	577.051	551.507	544.955	545.946
NM_001130485	chr16	33056453	33060188	+	483	1	Rpl35a|2810431L15Rik|Rpl35|-|16|16 B3|protein-coding	576.542	602.259	519.341	529.89
NM_001139512	chr2	154791110	154867261	+	1466	1	Raly|AI663842|Merc|-|2 H1|2 76.83 cM|protein-coding	568.778	574.829	541.819	550.692
NM_010880	chr1	86344719	86359455	-	8241	1	Ncl|B530004O11Rik|C23|D0Nds28|D1Nds28|Nucl|-|1 C5|1 43.94 cM|protein-coding	554.469	548.627	508.528	504.775
NM_008303	chr1	55088148	55091317	+	762	1	Hspe1|10kDa|Hsp10|mt-cpn10|-|1|1 C1.2|protein-coding	554.112	562.693	546.721	556.483
NM_007505	chr18	77773768	77782868	+	2417	1	Atp5a1|AI035633|AL022851|AL023067|Atpm|D18Ertd206e|Mom2|-|18 E3|18 52.38 cM|protein-coding	550.727	554.163	538.713	536.754
NM_025596	chr13	55322055	55325272	+	1082	1	Prelid1|2610524G07Rik|Preli|-|13|13 B1|protein-coding	547.417	529.777	526.431	540.923
NM_009169	chr6	6558275	6578658	-	486	1	Shfm1|DSS1|Shfdg1|Shfg|-|6|6 A1|protein-coding	546.656	567.998	562.716	615.974
NM_008828	chrX	106187100	106203699	+	1812	1	Pgk1|Pgk-1|-|X D|X 47.36 cM|protein-coding	546.65	524.538	463.933	444.224
NR_030457	chr14	54616677	54616785	-	108	1	Mir686|Mirn686|mmu-mir-686|-|14 C2|14|ncRNA	544.438	572.256	533.173	564.235
NM_011149	chr9	66060169	66066629	+	953	1	Ppib|AA408962|AA553318|AI844835|Cphn-2|Cphn2|CyP-20b|-|9|9 C|protein-coding	538.698	544.125	541.093	549.319
NR_030738	chr11	62602877	62604806	+	456	1	2410006H16Rik|-|-|11|11 B2|ncRNA	537.852	582.203	564.086	573.553
NM_146116	chr2	25222158	25224702	-	1594	1	Tubb4b|4930542G03Rik|Tubb2c|Tubb2c1|-|2|2 A3|protein-coding	535.911	530.371	484.776	478.7
NM_030694	chr7	140954839	140955961	-	623	1	Ifitm2|DSPA2c|Ifitm3l|fragilis3|mil-3|-|7|7 F5|protein-coding	534.44	488.914	520.914	543.929
NM_011434	chr16	90220742	90226324	+	641	1	Sod1|B430204E11Rik|Cu/Zn-SOD|CuZnSOD|Ipo-1|Ipo1|SODC|Sod-1|-|16 C3.3|16 51.56 cM|protein-coding	528.404	501.238	500.598	494.999
NM_008630	chr8	94172618	94173567	+	551	1	Mt2|AA409533|MT-II|Mt-2|-|8 C5|8 46.32 cM|protein-coding	527.568	535.446	307.175	308.392
NM_008788	chr5	137605107	137611404	-	1528	1	Pcolce|Astt-2|Astt2|P14|PCPE-1|-|5 G2|5 76.59 cM|protein-coding	524.624	532.823	440.487	449.136
NM_016805	chr1	178328300	178337784	-	3654	1	Hnrnpu|AA408410|AI256620|AL024194|AL024437|AW557595|C86794|Hnrpu|SAFA|Sp120|hnRNP U|-|1|1 H4|protein-coding	519.225	509.099	505.613	501.572
NM_007638	chr6	85451505	85468477	+	2438	1	Cct7|AA408524|AL022769|Ccth|Cctz|-|6|6 C3|protein-coding	517.501	538.735	498.613	481.739
NM_001110500	chr11	50293957	50325673	-	4236	1	Canx|1110069N15Rik|AI988026|Cnx|D11Ertd153e|-|11 B1.3|11 30.46 cM|protein-coding	516.646	500.714	477.213	481.537
NM_019642	chr2	157279098	157326318	+	2697	1	Rpn2|1300012C06Rik|AV261018|Rpn-2|-|2 H1|2 78.2 cM|protein-coding	511.621	505.733	507.909	494.586
NM_011045	chr2	132249286	132253180	-	1252	1	Pcna|-|-|2 F2|2 64.15 cM|protein-coding	506.043	506.294	407.623	425.516
