Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d sgNT_rep1_S65/ sgNT_rep2_S66/ sgArid1a_rep1_S67/ sgArid1a_rep2_S68) (cmd=getDiffExpression.pl sgArid1a_nostim_raw.txt -edgeR -simpleNorm -dispersion 0.05 sgNT sgNT sgARID1A sgARID1A -export diff -log2fold .585)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_rep1_S65/ (28413949.0 total)	sgNT_rep2_S66/ (31159073.0 total)	sgArid1a_rep1_S67/ (29840911.0 total)	sgArid1a_rep2_S68 (27904258.0 total)	sgARID1A vs. sgNT Log2 Fold Change	sgARID1A vs. sgNT p-value	sgARID1A vs. sgNT adj. p-value
NM_008555	chr16	23451785	23520590	-	2734.0	1	Masp1|AW048060|CCPII|Crarf|Masp1/3|-|16|16 B1|protein-coding	1609.86	1295.56	1219.34	1212.71	-0.242954342045819	0.000421386804004848	0.0237691218617631
NM_145597	chr8	70172408	70183681	+	3001.0	1	Tmem161a|AI428876|BB161850|BC021367|-|8|8 B3.3|protein-coding	1644.16	1667.33	1678.07	1610.65	0.00121806045555296	0.989670414994311	1
NM_001033438	chr13	50245181	50250308	-	3146.0	1	Gm906|-|-|13|13 A5|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_144839	chr14	18573577	18893627	-	1366.0	1	Ube2e2|BC016265|-|14|14 A2|protein-coding	541.47	574.55	570.47	539.68	0.00280598057185125	0.981636164573478	1
NM_001081287	chr18	7347962	7626863	-	4956.0	1	Mpp7|1110068J02Rik|2810038M04Rik|5430426E14Rik|AI415104|Gm955|-|18|18 A1|protein-coding	190.19	178.37	196.04	154.35	-0.0560826925998959	0.659636630926429	1
NR_002862	chr14	89896224	89899447	+	3223.0	1	Gm5088|EG328451|Pabpc4l|-|14 E2.1|14|pseudo	355.44	394.30	329.34	406.34	-0.021736280733751	0.858360750559785	1
NR_033520	chr17	6439002	6450994	-	4700.0	1	Tmem181b-ps|Tmem181b|-|17 A1|17|pseudo	279.57	321.07	278.37	305.54	-0.0348495582362496	0.756197511081139	1
NM_025701	chr8	3676477	3680921	+	2030.0	1	Trappc5|4021401A16Rik|TRS31|-|8 A1.1|8 1.92 cM|protein-coding	1578.68	1559.37	1610.44	1538.20	0.0165475024595383	0.768954820583116	1
NM_010381	chr17	34342212	34344645	-	778.0	1	H2-Ea-ps|AI323765|E-alpha-f|H-2Ea|H2-Ea|I-Ealpha|Ia-3|Ia3|MHC-H2-Ea|-|17 B1|17 17.98 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_019388	chr16	36603869	36666077	-	2529.0	1	Cd86|B7|B7-2|B7.2|B70|CLS1|Cd28l2|ETC-1|Ly-58|Ly58|MB7|MB7-2|TS/A-2|-|16 B3|16 25.72 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_023153	chr9	14500619	14510620	+	1143.0	1	Cwc15|0610040D20Rik|2900052N06Rik|Ed1|c11orf5|mED1|-|9|9 A2|protein-coding	3000.43	3099.96	3104.23	2989.26	0.00922298391083057	0.845363155738769	1
NM_026406	chr3	96727611	96791155	+	2254.0	1	Rnf115|2610028E05Rik|AU042696|Zfp364|-|3|3 F2.1|protein-coding	1852.02	1818.48	1887.83	1850.05	0.0377011966908649	0.465481852834967	1
NM_145822	chr7	19356009	19359483	-	2241.0	1	Cd3eap|1190028F09|2610103M17Rik|ASE-1|Ase1|CAST|PAF49|-|7|7 A3|protein-coding	903.14	1001.71	871.38	873.57	-0.117582998629689	0.078286214853826	0.724051584571553
NM_146433	chr2	85429883	85430827	-	943.0	1	Olfr994|MOR203-4|-|2|2 D|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_146177	chr7	4740127	4747514	+	2224.0	1	Kmt5c|BC024816|Suv4-20h2|Suv420h2|-|7|7 A1|protein-coding	743.09	720.07	725.33	775.93	0.0476884627421089	0.495572285236416	1
NM_027652	chr5	30232581	30272430	+	6794.0	1	Selenoi|4933402G07Rik|AI448296|AI452230|C79563|D5Wsu178e|Ept1|SELI|mKIAA1724|-|5 B1|5 16.22 cM|protein-coding	1954.91	1903.91	1764.32	1857.40	-0.080696961126627	0.118857044145363	0.875794382040473
NM_001166375	chr8	66386301	66471637	+	3936.0	1	March1|2900024D24Rik|BB085186|-|8|8 B3.1|protein-coding	1.04	0.94	3.92	3.15	1.73453488096294	0.185226636695583	1
NM_018830	chr19	31984651	32103140	-	4792.0	1	Asah2|AI585898|-|19|19 C1|protein-coding	262.94	245.03	371.49	375.89	0.569531598820076	5.88661278640574e-09	7.18606059403173e-07
NM_178061	chr4	34949074	35157484	-	6024.0	1	Mob3b|8430436F23Rik|A430018A01Rik|Mobkl2b|-|4 A5|4 16.86 cM|protein-coding	239.04	238.46	241.12	287.69	0.155147443132112	0.155944669997107	0.969694467237459
NR_039580	chr9	107436736	107436755	+	19.0	1	Mir5120|mmu-mir-5120|mu-mir-5120|-|4 B1|4 23.56 cM|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_146244	chr12	85135596	85151264	-	2521.0	1	Rps6kl1|A830084F09Rik|AW046440|-|12|12 D1|protein-coding	12.47	10.33	16.66	11.55	0.329648701491003	0.591897030910749	1
NR_003649	chr12	36090379	36091829	+	1450.0	1	Gm5434|EG432649|-|12 A3|12|pseudo	106.01	88.25	73.51	75.60	-0.365313212183963	0.0400229601605809	0.545579651922319
NM_029770	chr10	60762595	60831581	-	5848.0	1	Unc5b|6330415E02Rik|A630020F16|D10Bwg0792e|Unc5h2|-|10 B4|10 31.52 cM|protein-coding	412.60	373.65	330.32	312.89	-0.275322360956208	0.00333698664706098	0.117138256593613
NM_146717	chr1	174041933	174042936	+	1001.0	1	Olfr433|MOR123-1|-|1|1 H3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_177197	chr13	8952863	8960935	+	2236.0	1	Idi2|4833405L16Rik|IPPI2|-|13|13 A1|protein-coding	0.00	0.00	0.00	2.10	3.19320911774238	0.501700824438317	1
NM_009412	chr3	8929436	9004515	-	2258.0	1	Tpd52|AI043038|mD52|-|3|3 A1|protein-coding	1497.62	1581.90	1473.21	1529.81	-0.0267347132641657	0.640662816269138	1
NR_045940	chr7	69496094	69499689	+	997.0	1	4930402F11Rik|-|-|7|7 C|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_029420	chr7	126688927	126695783	-	3684.0	1	Slx1b|1110030E23Rik|2410170E21Rik|4833422P03Rik|AI853643|Giyd1|Giyd2|-|7|7 F3|protein-coding	435.46	491.00	489.11	501.89	0.104832721329335	0.208795938569346	1
NR_037296	chr9	69456944	69457031	+	87.0	1	Mir3109|mir-3109|mmu-mir-3109|-|9 C|9 38.58 cM|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_001011753	chr17	37609785	37610779	-	992.0	1	Olfr115|MOR218-11P|-|17|17 B1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_198927	chr15	91838328	91861435	+	2957.0	1	Smgc|2310010P21Rik|DXImx49e|Muc19|Muc19/Smgc|Sfc21|-|15|15 E3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_133892	chr4	118961967	118968910	+	1949.0	1	Lao1|AW990848|-|4|4 D2.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_029557	chr18	61647825	61647894	-	69.0	1	Mir145a|Mir145|Mirn145|mir-145a|mmu-mir-145|mmu-mir-145a|-|18 E1|18|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_009595	chr1	156558787	156649619	+	10700.0	1	Abl2|AA536808|Abll|Arg|-|1 G3|1 67.71 cM|protein-coding	2865.32	2767.62	2705.30	2600.77	-0.0744967776109361	0.114639611104863	0.863716671331832
NM_146033	chr12	36157124	36197291	+	2434.0	1	Ankmy2|AI035571|ZMYND20|-|12|12 A3|protein-coding	751.41	801.75	856.68	785.38	0.0910654192128366	0.188789444546305	1
NM_001081213	chr19	29609883	29648420	-	5377.0	1	Ermp1|D19Ertd410e|D19Wsu12e|Fxna|mKIAA1815|-|19 C1|19 24.17 cM|protein-coding	1694.04	1657.00	1712.38	1780.75	0.0707635465644315	0.177463612178884	1
NM_001161406	chr12	24572287	24617391	+	3450.0	1	Grhl1|LBP-32|MGR|Tcfcp2l2|-|12|12 A1.3|protein-coding	14.55	15.96	14.70	18.90	0.140172274787564	0.718241966492211	1
NR_045798	chr13	64248700	64268145	+	1799.0	1	1810034E14Rik|-|-|13|13 B3|ncRNA	179.80	155.84	160.75	153.30	-0.0800500918787484	0.536606148066385	1
NM_001195596	chr10	25527943	25536272	-	670.0	1	Smlr1|2010003K15Rik|-|10|10 A4|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_144903	chr4	49535993	49549546	-	2007.0	1	Aldob|Aldo-2|Aldo2|BC016435|-|4 B1|4 26.57 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_145521	chr2	32095651	32110820	+	1820.0	1	Plpp7|D830019K17Rik|NET39|Ppapdc3|-|2|2 B|protein-coding	49.89	51.63	46.07	43.05	-0.176240454047088	0.457637853527619	1
NR_027964	chr5	109833501	109834142	-	641.0	1	Gm10416|EG667213|ENSMUSG00000072761|-|5|5 F|pseudo	0.00	0.00	0.00	0.00	0	1	1
NM_007428	chr8	124556587	124569707	-	1832.0	1	Agt|AI265500|AngI|AngII|Aogen|Serpina8|-|8 E2|8 72.81 cM|protein-coding	233.84	253.48	291.11	299.24	0.284784943057922	0.0058501140209577	0.171909278721245
NM_009141	chr5	90759298	90761625	+	1650.0	1	Cxcl5|AMCF-II|Cxcl6|ENA-78|GCP-2|LIX|Scyb5|Scyb6|-|5 E1|5 44.78 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001347499	chr8	28646717	29219636	-	9147.0	1	Unc5d|D930029E11Rik|Unc5h4|mKIAA1777|-|8|8 A2|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_021327	chr11	54910787	54962940	-	2818.0	1	Tnip1|ABIN|ABIN-1|ABIN1|AU018810|Naf1|Nef|VAN|-|11|11 B1.3|protein-coding	1942.43	2043.79	2152.48	2274.23	0.16084557954944	0.00157653839904903	0.0671588935719895
NM_001199936	chr4	61515593	61519486	-	872.0	1	Mup16|Mup6|-|4 B3|4|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_013522	chr8	41397454	41417118	-	1077.0	1	Frg1|-|-|8 A4|8 23.89 cM|protein-coding	1010.19	1042.08	1081.14	1094.07	0.0940417558174157	0.119121406677673	0.876096612493857
NM_018873	chr11	97509340	97575126	-	6943.0	1	Srcin1|P140|SNIP|mKIAA1684|p140Cap|-|11|11 D|protein-coding	16.63	17.84	22.54	29.40	0.590826267937839	0.0787815498538914	0.725079853250163
NM_175650	chr16	29231914	29378732	-	4503.0	1	Atp13a5|C630015F21Rik|-|16|16 B2|protein-coding	0.00	0.00	0.98	0.00	2.34197687830997	0.999999999999998	1
NR_105808	chr9	92267258	92267361	-	103.0	1	Mir6386|Gm27842|mmu-mir-6386|-|9|9 E3.3|ncRNA	1.04	0.00	1.96	0.00	0.889416289324517	1	1
NM_001242364	chr7	105371211	105400054	-	10881.0	1	Fam160a2|4632419K20Rik|6530415H11Rik|FHIP|-|7|7 E3|protein-coding	800.25	772.64	751.80	843.13	0.0301102059687171	0.668616637118063	1
NM_001190352	chr5	125532418	125792583	+	7953.0	1	Tmem132b|AK220418|mKIAA1786|-|5|5 G1.1|protein-coding	2.08	0.00	0.98	1.05	0.0438047955061279	1	1
NM_175417	chr13	41763148	41847488	-	2431.0	1	Adtrp|9530008L14Rik|-|13|13 A4|protein-coding	1.04	0.00	0.00	0.00	-2.30249020305659	0.999999999999998	1
NM_001191023	chr6	5725639	6028039	+	2724.0	1	Dync1i1|DH IC-1|DHIC-1|DIC|Dncic1|IC74|-|6 A1|6 2.26 cM|protein-coding	213.05	237.52	233.28	201.59	-0.0404379526478261	0.756226242475381	1
NR_045829	chr12	12351522	12392475	-	1336.0	1	4921511I17Rik|-|-|12|12 A1.1|ncRNA	25.98	28.16	22.54	28.35	-0.0859285766679587	0.852678525873327	1
NR_077239	chr17	10456216	10474123	+	1265.0	1	A230009B12Rik|-|-|17|17 A1|ncRNA	1.04	2.82	4.90	2.10	0.818533351075708	0.555657741003661	1
NM_010143	chr16	21204795	21223304	+	4127.0	1	Ephb3|AW456895|Cek10|Etk2|HEK2|MDK5|Sek4|Tyro6|-|16|16 B1|protein-coding	5.20	16.90	3.92	5.25	-1.2723847689185	0.0436096662999307	0.563777861960695
NM_001009573	chr11	116062096	116077961	-	3932.0	1	Unc13d|2610108D09Rik|Jinx|Munc13-4|mFLJ00067|-|11|11 E2|protein-coding	72.75	61.02	84.30	77.70	0.293708941617933	0.135835645156504	0.911901292805785
NR_130327	chr10	60960723	60960844	+	121.0	1	Mir466j|Mirn466j|mmu-mir-466j|-|10 B4|10 32.1 cM|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NR_131015	chr10	126788851	126793710	-	1746.0	1	4930484H19Rik|-|-|10|10 D3|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NR_045947	chr12	118518297	118530193	-	880.0	1	D230030E09Rik|Npe|-|12 F2|12|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_026669	chr15	99392947	99410049	+	2375.0	1	Tmbim6|5031406P05Rik|Bi1|Tegt|-|15 F1|15 56.13 cM|protein-coding	9537.57	9859.40	11334.81	11445.71	0.242699893831066	2.27300581021888e-09	2.93540755607056e-07
NM_025488	chr12	110667689	110682619	-	946.0	1	1700001K19Rik|-|-|12|12 F1|protein-coding	6.24	1.88	4.90	3.15	0.0464780242927611	1	1
NM_019659	chr9	32372418	32399194	+	3066.0	1	Kcnj1|Kir1.1|ROMK|Romk2|-|9|9 A4|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001267796	chr18	36300101	36301478	+	1375.0	1	Igip|6330403M23Rik|-|18|18 B2|protein-coding	60.28	54.45	51.95	67.20	0.0630851262887087	0.811026897035657	1
NR_045975	chr13	30615043	30624258	+	1132.0	1	4930519D14Rik|-|-|13|13 A3.2|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_010806	chr17	13760541	13905794	+	7348.0	1	Afdn|5033403D15Rik|AF6|Af-6|Afadin|Gm314|I-afadin|Mllt4|S-afadin|-|17|17 A1|protein-coding	6046.59	5617.85	5331.20	5348.54	-0.115742084739049	0.00828002616077735	0.220833697724993
NM_028977	chr5	21543527	21575902	+	2182.0	1	Lrrc17|37kDa|4833425M04Rik|6130400C22Rik|P37nb|-|5|5 A3|protein-coding	0.00	0.00	0.98	1.05	3.19255766247712	0.501700824438317	1
NR_030555	chr1	185537336	185988795	+	68.0	1	Mir297c|Mirn297c|-|2 A1|2|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_001302498	chrX	101382118	101385629	+	1532.0	1	Gjb1|Cnx32|Cx32|connexin-32|-|X D|X 44.06 cM|protein-coding	46.77	78.86	49.99	46.20	-0.385348122061163	0.106422136080138	0.834808169117117
NM_030052	chr5	71442823	71548205	-	538.0	1	Cox7b2|4930503B16Rik|-|5|5 C3.1|protein-coding	0.00	0.00	0.00	1.05	2.3426325900233	0.999999999999998	1
NM_001011821	chr10	129704880	129705824	+	943.0	1	Olfr804|MOR110-7|-|10|10 D3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_010349	chr10	49099463	49788754	-	4852.0	1	Grik2|AW124492|GluK2|Glur-6|Glur6|Glurbeta2|-|10 B3|10 24.87 cM|protein-coding	466.64	383.04	642.02	629.98	0.597704297175959	1.14509049518393e-12	1.73438799261285e-10
NM_013933	chr17	65580053	65613555	-	1635.0	1	Vapa|33kDa|VAP33|-|17|17 E1.1|protein-coding	4172.75	4171.14	4177.53	4216.68	0.0195533267098909	0.651326918602264	1
NM_177185	chr6	38433925	38512763	+	14650.0	1	Ubn2|2900060J04Rik|6030408G03Rik|BC060116|D130059P03Rik|mKIAA2030|-|6|6 B1|protein-coding	2502.61	2186.49	2019.17	2307.83	-0.104598274506397	0.0793891120163734	0.727135976776625
NM_010588	chr12	112908590	112929495	-	4026.0	1	Jag2|D12Ggc2e|Serh|mJagged2-1|sm|-|12 F1|12 61.37 cM|protein-coding	102.89	112.66	124.48	123.90	0.212577416356752	0.167879404041281	1
NM_008516	chr6	107529726	107570228	+	3752.0	1	Lrrn1|2810047E21Rik|NLRR-1|-|6|6 E1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_046140	chr8	123560886	123561006	-	120.0	10	Gm26391|Rn5s17|-|8 E1|8|rRNA	0.00	0.00	0.00	0.00	0	1	1
NM_138944	chr8	78433009	78436652	-	3208.0	1	Pou4f2|Brn-3.2|Brn-3b|Brn3b|Pou4f-rs1|mBrn3-3R|-|8|8 C1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_199319	chrX	8803691	8809386	+	593.0	1	Ssxb5|-|-|X A1.1|X|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_010093	chr13	29906575	29986063	-	5088.0	1	E2f3|E2F3b|E2f3a|-|13|13 A3.2|protein-coding	1713.79	1785.62	1472.23	1548.70	-0.202429098553065	0.000177242577264862	0.0113255237456977
NM_001164320	chr15	81686167	81697287	-	2538.0	1	Chadl|AY100452|D930017K21Rik|-|15|15 E1|protein-coding	190.19	184.95	178.39	162.75	-0.123494532333135	0.325393481945876	1
NM_001303423	chr11	78323073	78327778	+	2667.0	1	Aldoc|AI847350|AU040929|Aldo3|Scrg2|-|11 B5|11 46.74 cM|protein-coding	717.11	645.90	825.31	811.63	0.2776338335537	7.57587906943516e-05	0.00532634225578024
NM_001081419	chr10	76263049	76345291	-	6315.0	1	Dip2a|4931420H10Rik|AI426328|Dip2|Kiaa0184-hp|mKIAA0184|-|10 C1|10 38.76 cM|protein-coding	996.68	931.30	915.49	975.42	-0.0165980488365919	0.801699626076613	1
NR_102282	chr1	10024600	10038159	-	1731.0	1	Cops5|AI303502|CSN5|Jab1|Mov34|Sgn5|-|1 A2|1 2.29 cM|protein-coding	3602.18	3624.75	3613.93	3632.89	0.0147911603385008	0.738250105124915	1
NR_108059	chr10	84488293	84497676	+	2325.0	1	4930463O16Rik|-|-|10|10 C1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_027879	chr10	40831622	40883143	-	3348.0	1	Cdc40|1200003H23Rik|EHB3|PRP17|-|10|10 B1|protein-coding	2083.78	2138.61	1924.09	2067.39	-0.0713032359591044	0.16913912439387	1
NM_007760	chr2	30400476	30415748	-	4377.0	1	Crat|AW107812|CARAT|-|2 B|2 21.69 cM|protein-coding	1041.37	943.51	947.83	1038.42	0.0126007517053941	0.859844313008242	1
NM_023116	chr2	14604306	14987908	+	3929.0	1	Cacnb2|AW060387|CAB2|Cavbeta2|Cchb2|-|2 A2|2 10.7 cM|protein-coding	0.00	0.00	0.98	3.15	4.11207868792145	0.127555546541707	0.891288078320421
NM_026904	chr8	79711820	79777321	+	2795.0	1	Anapc10|1500026N15Rik|A830003M23Rik|APC10|-|8 C1|8 37.79 cM|protein-coding	476.00	491.94	471.47	415.79	-0.113348028888153	0.186516386242841	1
NM_145453	chr13	91796533	91807696	-	1524.0	1	Zcchc9|1810019C21Rik|-|13|13 C3|protein-coding	1072.55	1150.04	1118.39	1103.52	0.00931487517334473	0.878492816355156	1
NR_027644	chr1	172559906	172563717	+	1514.0	1	Vsig8|A030011M19|EG240916|-|1|1 H3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_177704	chrX	9885621	9998864	+	6604.0	1	Sytl5|ENSMUSG00000054453|slp5|-|X|X A1.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_030469	chr3	114863253	115027151	+	46.0	1	Mir669b|Mirn669b|-|2 A1|2|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_052991	chr7	31051678	31054853	-	532.0	1	Fxyd1|0610012C17Rik|1110006M24Rik|Plm|Pml|-|7|7 B1|protein-coding	4.16	0.94	0.98	1.05	-1.17751490282663	0.458670385518643	1
NM_013826	chr13	114818237	114829420	+	1880.0	1	Mocs2|AI415403|-|13|13 D2.2|protein-coding	1157.77	1248.62	1229.15	1266.26	0.0615740647762968	0.295942829042864	1
NR_028096	chr3	153907289	153912203	-	1565.0	1	Rabggtb|-|-|3 H3|3 78.76 cM|protein-coding	2416.35	2412.75	2344.59	2373.98	-0.0225685207213112	0.64179076024674	1
NM_001126322	chr11	99771714	99772913	-	1197.0	1	Gm11595|OTTMUSG00000002543|-|11|11 D|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_028566	chr19	7478518	7478561	+	43.0	1	Snord118|MBI-34|-|11 B3|11|snoRNA	0.00	0.00	0.00	0.00	0	1	1
NM_183106	chr2	94300766	94406689	-	4564.0	1	Ttc17|9130020K17Rik|D2Bwg1005e|-|2 E1|2 51.69 cM|protein-coding	1149.46	1152.86	1112.50	1177.02	0.00208244400300524	0.974980888504462	1
NR_029918	chr12	109618258	109618336	+	78.0	1	Mir370|Mirn370|mir-370|mmu-mir-370|-|12|12 F1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_018741	chr4	45809507	45826827	-	2722.0	1	Igfbpl1|2810011G06Rik|2810453O06Rik|IGFBPL|-|4|4 B1|protein-coding	1.04	1.88	1.96	1.05	0.0466139540920593	1	1
NM_134072	chr13	4059591	4090422	+	2434.0	1	Akr1c14|9030611N15Rik|AW557061|-|13|13 A1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001130444	chr7	141189934	141194004	-	2264.0	1	Hras|H-ras|Ha-ras|Harvey-ras|Hras-1|Hras1|Kras2|c-H-ras|c-Ha-ras|c-rasHa|ras|-|7 F5|7 86.48 cM|protein-coding	3513.84	3625.69	3712.92	3457.55	0.0173597358775196	0.71324933004774	1
NM_001347375	chr5	86804266	86836659	+	3217.0	1	Ythdc1|A730098D12Rik|C80342|mKIAA1966|-|5|5 E1|protein-coding	2626.29	2618.35	2530.83	2527.28	-0.0412504872666492	0.382140666270922	1
NM_001081383	chr5	25271794	25498783	-	16759.0	1	Kmt2c|E330008K23Rik|HALR|Mll3|mKIAA1506|-|5|5 A3-B1|protein-coding	1602.59	1450.46	1358.53	1452.11	-0.107594708911225	0.0646372817107463	0.667538355945128
NM_015779	chr10	79886312	79888216	+	913.0	1	Elane|Ela2|F430011M15Rik|NE|-|10 C1|10 39.72 cM|protein-coding	1.04	0.00	0.00	1.05	0.040142386966713	1	1
NM_001033191	chr5	97382209	97392330	-	3360.0	1	Naa11|Ard1b|Ard2|C80008|-|5|5 E3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_207301	chr16	96145419	96157852	+	2476.0	1	Wrb|5530402J05Rik|C030018G21Rik|Chd5|-|16|16 C4|protein-coding	1212.85	1259.89	1160.53	1206.41	-0.0533680165096413	0.370913927281477	1
NM_026213	chr15	5185560	5218332	+	1821.0	1	Ttc33|2410099M07Rik|2900001O04Rik|AI507072|AW538342|Osrf|-|15|15 A1|protein-coding	696.32	669.37	659.66	574.33	-0.132509826606772	0.0779621327524306	0.723969522974579
